user_id,chapter_id,group_grade,max_chapter_grade,chapter_grade
342,1,0.0,0.06,0.0
342,2,0.06,0.06,1.0
342,4,0.02,0.02,1.0
342,5,0.06,0.06,1.0
342,6,0.02,0.02,1.0
342,7,0.06,0.06,1.0
342,8,0.06,0.06,1.0
342,10,0.02,0.02,1.0
342,12,0.4,0.4,1.0
604,1,0.06,0.06,1.0
604,2,0.06,0.06,1.0
604,3,0.0133333333333,0.06,0.222222222222
1039,1,0.05,0.06,0.833333333333
1039,2,0.06,0.06,1.0
1039,3,0.06,0.06,1.0
1039,4,0.02,0.02,1.0
1039,5,0.06,0.06,1.0
1039,6,0.02,0.02,1.0
1039,7,0.06,0.06,1.0
1039,8,0.055,0.06,0.916666666667
1039,9,0.02,0.02,1.0
1039,10,0.02,0.02,1.0
1039,11,0.0633333333333,0.2,0.316666666667
1039,12,0.32,0.4,0.8
2031,1,0.06,0.06,1.0
2031,3,0.06,0.06,1.0
2031,4,0.01,0.02,0.5
2031,5,0.0566666666667,0.06,0.944444444444
2031,6,0.02,0.02,1.0
2264,1,0.0,0.06,0.0
2264,2,0.015,0.06,0.25
2264,3,0.0133333333333,0.06,0.222222222222
2335,1,0.04,0.06,0.666666666667
2335,2,0.01,0.06,0.166666666667
2999,1,0.06,0.06,1.0
2999,2,0.06,0.06,1.0
2999,3,0.06,0.06,1.0
2999,4,0.02,0.02,1.0
2999,5,0.06,0.06,1.0
2999,6,0.02,0.02,1.0
2999,7,0.06,0.06,1.0
2999,8,0.06,0.06,1.0
2999,9,0.02,0.02,1.0
2999,10,0.02,0.02,1.0
2999,11,0.2,0.2,1.0
2999,12,0.306,0.4,0.765
3590,1,0.05,0.06,0.833333333333
3590,2,0.0416666666667,0.06,0.694444444444
3590,3,0.06,0.06,1.0
3590,4,0.02,0.02,1.0
3590,5,0.06,0.06,1.0
3590,6,0.0166666666667,0.02,0.833333333333
3590,7,0.06,0.06,1.0
3590,8,0.06,0.06,1.0
3590,9,0.02,0.02,1.0
3590,10,0.02,0.02,1.0
3590,11,0.2,0.2,1.0
3590,12,0.368,0.4,0.92
3646,1,0.06,0.06,1.0
3646,2,0.06,0.06,1.0
3646,3,0.06,0.06,1.0
3646,4,0.02,0.02,1.0
3646,5,0.06,0.06,1.0
3646,6,0.02,0.02,1.0
3646,7,0.06,0.06,1.0
3646,8,0.06,0.06,1.0
3646,9,0.02,0.02,1.0
3646,10,0.02,0.02,1.0
3646,11,0.2,0.2,1.0
3646,12,0.392,0.4,0.98
3840,1,0.05,0.06,0.833333333333
3840,2,0.06,0.06,1.0
3840,3,0.00666666666667,0.06,0.111111111111
5051,1,0.05,0.06,0.833333333333
5051,2,0.015,0.06,0.25
5436,1,0.06,0.06,1.0
5436,2,0.01,0.06,0.166666666667
6690,1,0.0,0.06,0.0
6690,2,0.0466666666667,0.06,0.777777777778
6690,3,0.0462857142857,0.06,0.771428571429
7223,1,0.0,0.06,0.0
7223,2,0.015,0.06,0.25
7223,3,0.0133333333333,0.06,0.222222222222
7394,1,0.06,0.06,1.0
7394,2,0.055,0.06,0.916666666667
7394,3,0.05,0.06,0.833333333333
7394,4,0.01,0.02,0.5
7394,5,0.00666666666667,0.06,0.111111111111
7548,1,0.05,0.06,0.833333333333
7548,2,0.06,0.06,1.0
7548,3,0.02,0.06,0.333333333333
7548,4,0.01,0.02,0.5
7548,5,0.0166666666667,0.06,0.277777777778
7602,1,0.04,0.06,0.666666666667
7602,4,0.0,0.02,0.0
7980,1,0.06,0.06,1.0
7980,2,0.06,0.06,1.0
7980,3,0.06,0.06,1.0
7980,4,0.02,0.02,1.0
7980,5,0.06,0.06,1.0
7980,6,0.02,0.02,1.0
7980,7,0.06,0.06,1.0
7980,8,0.06,0.06,1.0
7980,9,0.02,0.02,1.0
7980,10,0.02,0.02,1.0
7980,11,0.2,0.2,1.0
7980,12,0.352,0.4,0.88
8695,1,0.05,0.06,0.833333333333
8695,2,0.02,0.06,0.333333333333
9447,1,0.05,0.06,0.833333333333
9447,2,0.0176666666667,0.06,0.294444444444
9460,1,0.0,0.06,0.0
9460,2,0.06,0.06,1.0
9460,3,0.0533333333333,0.06,0.888888888889
9460,4,0.015,0.02,0.75
9460,5,0.06,0.06,1.0
9460,6,0.02,0.02,1.0
9460,7,0.00666666666667,0.06,0.111111111111
9988,1,0.05,0.06,0.833333333333
9988,2,0.05,0.06,0.833333333333
9988,4,0.01,0.02,0.5
9988,7,0.01,0.06,0.166666666667
10284,1,0.02,0.06,0.333333333333
10284,2,0.015,0.06,0.25
10906,1,0.0,0.06,0.0
10906,2,0.016,0.06,0.266666666667
10906,3,0.0133333333333,0.06,0.222222222222
10906,4,0.015,0.02,0.75
11075,1,0.05,0.06,0.833333333333
11075,2,0.06,0.06,1.0
11075,3,0.06,0.06,1.0
11075,4,0.015,0.02,0.75
11075,5,0.0566666666667,0.06,0.944444444444
11075,6,0.02,0.02,1.0
11075,7,0.06,0.06,1.0
11075,8,0.06,0.06,1.0
11075,9,0.02,0.02,1.0
11075,10,0.02,0.02,1.0
11075,11,0.2,0.2,1.0
11075,12,0.312,0.4,0.78
11849,1,0.06,0.06,1.0
11849,2,0.06,0.06,1.0
11849,3,0.06,0.06,1.0
11849,4,0.015,0.02,0.75
11849,5,0.02,0.06,0.333333333333
12436,1,0.06,0.06,1.0
12436,2,0.06,0.06,1.0
12436,3,0.0566666666667,0.06,0.944444444444
12436,4,0.01,0.02,0.5
12436,5,0.06,0.06,1.0
12436,6,0.02,0.02,1.0
12436,7,0.06,0.06,1.0
12436,8,0.02,0.06,0.333333333333
12436,9,0.02,0.02,1.0
12436,10,0.02,0.02,1.0
12436,11,0.14,0.2,0.7
12436,12,0.352,0.4,0.88
12621,1,0.04,0.06,0.666666666667
12621,2,0.055,0.06,0.916666666667
12621,3,0.06,0.06,1.0
12621,4,0.005,0.02,0.25
12621,5,0.06,0.06,1.0
12621,10,0.01,0.02,0.5
12685,1,0.05,0.06,0.833333333333
12685,2,0.003,0.06,0.05
14902,1,0.04,0.06,0.666666666667
14902,2,0.016,0.06,0.266666666667
14902,3,0.02,0.06,0.333333333333
14902,4,0.0,0.02,0.0
14902,5,0.0129166666667,0.06,0.215277777778
14902,6,0.0133333333333,0.02,0.666666666667
15430,1,0.06,0.06,1.0
15430,2,0.056,0.06,0.933333333333
15430,3,0.06,0.06,1.0
15430,4,0.01,0.02,0.5
15430,5,0.0566666666667,0.06,0.944444444444
15430,6,0.02,0.02,1.0
15430,7,0.06,0.06,1.0
15430,8,0.06,0.06,1.0
15430,9,0.02,0.02,1.0
15430,10,0.02,0.02,1.0
15430,11,0.156666666667,0.2,0.783333333333
15430,12,0.384,0.4,0.96
16734,1,0.05,0.06,0.833333333333
16734,2,0.0426666666667,0.06,0.711111111111
16734,3,0.0133333333333,0.06,0.222222222222
16734,4,0.02,0.02,1.0
16734,5,0.0,0.06,0.0
16825,3,0.0133333333333,0.06,0.222222222222
16825,4,0.02,0.02,1.0
17614,1,0.05,0.06,0.833333333333
17614,2,0.06,0.06,1.0
17614,3,0.06,0.06,1.0
17614,4,0.01,0.02,0.5
17614,5,0.0133333333333,0.06,0.222222222222
17614,6,0.02,0.02,1.0
17614,7,0.06,0.06,1.0
17614,8,0.032,0.06,0.533333333333
17614,9,0.02,0.02,1.0
17614,10,0.02,0.02,1.0
17614,12,0.352,0.4,0.88
17751,1,0.05,0.06,0.833333333333
17751,2,0.053,0.06,0.883333333333
17751,3,0.0133333333333,0.06,0.222222222222
18430,1,0.0,0.06,0.0
18430,3,0.06,0.06,1.0
18430,4,0.02,0.02,1.0
18430,5,0.06,0.06,1.0
18511,1,0.01,0.06,0.166666666667
18511,2,0.0466666666667,0.06,0.777777777778
18511,3,0.0385714285714,0.06,0.642857142857
18511,4,0.005,0.02,0.25
18511,5,0.0,0.06,0.0
18511,6,0.0,0.02,0.0
18870,1,0.06,0.06,1.0
18870,2,0.055,0.06,0.916666666667
18870,3,0.06,0.06,1.0
18870,4,0.015,0.02,0.75
18870,5,0.0533333333333,0.06,0.888888888889
18870,6,0.02,0.02,1.0
18870,7,0.02,0.06,0.333333333333
19105,1,0.06,0.06,1.0
19105,2,0.055,0.06,0.916666666667
19105,3,0.02,0.06,0.333333333333
19951,1,0.06,0.06,1.0
19951,2,0.06,0.06,1.0
19951,3,0.06,0.06,1.0
19951,4,0.015,0.02,0.75
19951,5,0.0566666666667,0.06,0.944444444444
19951,6,0.02,0.02,1.0
19951,7,0.06,0.06,1.0
19951,8,0.06,0.06,1.0
19951,9,0.02,0.02,1.0
19951,10,0.02,0.02,1.0
19951,11,0.2,0.2,1.0
19951,12,0.368,0.4,0.92
19961,1,0.02,0.06,0.333333333333
19961,2,0.015,0.06,0.25
19961,3,0.00666666666667,0.06,0.111111111111
20060,1,0.05,0.06,0.833333333333
20060,2,0.06,0.06,1.0
20675,1,0.0,0.06,0.0
20675,5,0.04,0.06,0.666666666667
21077,1,0.04,0.06,0.666666666667
21077,2,0.06,0.06,1.0
21077,3,0.00666666666667,0.06,0.111111111111
21724,1,0.0,0.06,0.0
21724,3,0.0133333333333,0.06,0.222222222222
21724,4,0.005,0.02,0.25
21724,5,0.0166666666667,0.06,0.277777777778
21796,1,0.06,0.06,1.0
21796,2,0.001,0.06,0.0166666666667
22040,1,0.0366666666667,0.06,0.611111111111
22040,2,0.015,0.06,0.25
22400,1,0.05,0.06,0.833333333333
22400,2,0.06,0.06,1.0
22400,3,0.06,0.06,1.0
22400,4,0.015,0.02,0.75
22400,5,0.0266666666667,0.06,0.444444444444
22400,6,0.02,0.02,1.0
22400,7,0.06,0.06,1.0
22400,8,0.06,0.06,1.0
22400,9,0.02,0.02,1.0
22400,10,0.01,0.02,0.5
22400,12,0.4,0.4,1.0
23925,1,0.06,0.06,1.0
23925,2,0.06,0.06,1.0
23925,3,0.06,0.06,1.0
23925,4,0.02,0.02,1.0
23925,5,0.06,0.06,1.0
23925,6,0.02,0.02,1.0
23925,7,0.0575,0.06,0.958333333333
23925,8,0.06,0.06,1.0
23925,9,0.02,0.02,1.0
23925,10,0.02,0.02,1.0
23925,11,0.1,0.2,0.5
23925,12,0.376,0.4,0.94
24236,1,0.04,0.06,0.666666666667
24236,2,0.06,0.06,1.0
24236,3,0.06,0.06,1.0
24236,4,0.02,0.02,1.0
24236,5,0.06,0.06,1.0
24236,6,0.02,0.02,1.0
24236,7,0.06,0.06,1.0
24236,8,0.06,0.06,1.0
24236,9,0.02,0.02,1.0
24236,10,0.02,0.02,1.0
24236,11,0.2,0.2,1.0
24236,12,0.376,0.4,0.94
24638,1,0.06,0.06,1.0
24638,2,0.055,0.06,0.916666666667
24638,3,0.06,0.06,1.0
24638,4,0.01,0.02,0.5
24638,5,0.0566666666667,0.06,0.944444444444
24638,6,0.02,0.02,1.0
24638,7,0.06,0.06,1.0
24638,8,0.06,0.06,1.0
24638,9,0.02,0.02,1.0
24638,10,0.02,0.02,1.0
24638,11,0.2,0.2,1.0
24638,12,0.352,0.4,0.88
25705,1,0.04,0.06,0.666666666667
25705,2,0.001,0.06,0.0166666666667
26326,1,0.06,0.06,1.0
26326,2,0.06,0.06,1.0
26326,3,0.06,0.06,1.0
26326,4,0.02,0.02,1.0
26326,5,0.06,0.06,1.0
26326,6,0.02,0.02,1.0
26326,7,0.06,0.06,1.0
26326,8,0.06,0.06,1.0
26326,9,0.02,0.02,1.0
26326,10,0.02,0.02,1.0
26326,11,0.2,0.2,1.0
26326,12,0.376,0.4,0.94
26571,1,0.04,0.06,0.666666666667
26571,2,0.045,0.06,0.75
26950,1,0.01,0.06,0.166666666667
26950,2,0.005,0.06,0.0833333333333
27667,1,0.06,0.06,1.0
27667,2,0.06,0.06,1.0
27667,3,0.06,0.06,1.0
27667,4,0.02,0.02,1.0
27667,5,0.06,0.06,1.0
27667,6,0.02,0.02,1.0
27667,7,0.06,0.06,1.0
27667,8,0.06,0.06,1.0
27667,9,0.02,0.02,1.0
27667,10,0.02,0.02,1.0
27667,11,0.2,0.2,1.0
27667,12,0.384,0.4,0.96
27813,1,0.01,0.06,0.166666666667
27813,2,0.06,0.06,1.0
27813,3,0.06,0.06,1.0
27813,4,0.015,0.02,0.75
27813,5,0.0233333333333,0.06,0.388888888889
27813,6,0.02,0.02,1.0
27813,7,0.02,0.06,0.333333333333
27813,8,0.055,0.06,0.916666666667
27813,9,0.02,0.02,1.0
27813,10,0.02,0.02,1.0
27813,11,0.07,0.2,0.35
27813,12,0.266,0.4,0.665
29008,1,0.05,0.06,0.833333333333
29008,2,0.06,0.06,1.0
29008,3,0.00666666666667,0.06,0.111111111111
29008,6,0.00666666666667,0.02,0.333333333333
29539,1,0.05,0.06,0.833333333333
29539,2,0.055,0.06,0.916666666667
