user_id,seq_id,group_grade,max_seq_grade,seq_grade,chapter_id
342,1-2,0.0,0.0,,1
342,10-0,0.01,0.01,1.0,10
342,10-1,0.01,0.01,1.0,10
342,12-1,0.4,0.4,1.0,12
342,2-0,0.005,0.005,1.0,2
342,2-1,0.005,0.005,1.0,2
342,2-3,0.005,0.005,1.0,2
342,2-4,0.005,0.005,1.0,2
342,2-6,0.04,0.04,1.0,2
342,4-0,0.005,0.005,1.0,4
342,4-2,0.005,0.005,1.0,4
342,4-4,0.005,0.005,1.0,4
342,4-5,0.005,0.005,1.0,4
342,5-0,0.00666666666667,0.00666666666667,1.0,5
342,5-1,0.00666666666667,0.00666666666667,1.0,5
342,5-2,0.00666666666667,0.00666666666667,1.0,5
342,5-4,0.04,0.04,1.0,5
342,6-0,0.00666666666667,0.00666666666667,1.0,6
342,6-1,0.00666666666667,0.00666666666667,1.0,6
342,6-2,0.00666666666667,0.00666666666667,1.0,6
342,7-1,0.01,0.01,1.0,7
342,7-2,0.01,0.01,1.0,7
342,7-4,0.04,0.04,1.0,7
342,8-0,0.01,0.01,1.0,8
342,8-1,0.01,0.01,1.0,8
342,8-2,0.04,0.04,1.0,8
604,1-0,0.0,0.0,,1
604,1-2,0.0,0.0,,1
604,1-3,0.02,0.02,1.0,1
604,1-5,0.04,0.04,1.0,1
604,2-0,0.005,0.005,1.0,2
604,2-1,0.005,0.005,1.0,2
604,2-3,0.005,0.005,1.0,2
604,2-4,0.005,0.005,1.0,2
604,2-6,0.04,0.04,1.0,2
604,3-1,0.00666666666667,0.00666666666667,1.0,3
604,3-4,0.00666666666667,0.00666666666667,1.0,3
1039,1-0,0.0,0.0,,1
1039,1-2,0.0,0.0,,1
1039,1-3,0.01,0.02,0.5,1
1039,1-5,0.04,0.04,1.0,1
1039,10-0,0.01,0.01,1.0,10
1039,10-1,0.01,0.01,1.0,10
1039,11-1,0.0633333333333,0.14,0.452380952381,11
1039,12-1,0.32,0.4,0.8,12
1039,2-0,0.005,0.005,1.0,2
1039,2-1,0.005,0.005,1.0,2
1039,2-3,0.005,0.005,1.0,2
1039,2-4,0.005,0.005,1.0,2
1039,2-6,0.04,0.04,1.0,2
1039,3-1,0.00666666666667,0.00666666666667,1.0,3
1039,3-4,0.00666666666667,0.00666666666667,1.0,3
1039,3-5,0.00666666666667,0.00666666666667,1.0,3
1039,3-6,0.04,0.04,1.0,3
1039,4-0,0.005,0.005,1.0,4
1039,4-2,0.005,0.005,1.0,4
1039,4-4,0.005,0.005,1.0,4
1039,4-5,0.005,0.005,1.0,4
1039,5-0,0.00666666666667,0.00666666666667,1.0,5
1039,5-1,0.00666666666667,0.00666666666667,1.0,5
1039,5-2,0.00666666666667,0.00666666666667,1.0,5
1039,5-4,0.04,0.04,1.0,5
1039,6-0,0.00666666666667,0.00666666666667,1.0,6
1039,6-1,0.00666666666667,0.00666666666667,1.0,6
1039,6-2,0.00666666666667,0.00666666666667,1.0,6
1039,7-1,0.01,0.01,1.0,7
1039,7-2,0.01,0.01,1.0,7
1039,7-4,0.04,0.04,1.0,7
1039,8-0,0.005,0.01,0.5,8
1039,8-1,0.01,0.01,1.0,8
1039,8-2,0.04,0.04,1.0,8
1039,9-0,0.01,0.01,1.0,9
1039,9-1,0.01,0.01,1.0,9
2031,1-0,0.0,0.0,,1
2031,1-3,0.02,0.02,1.0,1
2031,1-5,0.04,0.04,1.0,1
2031,3-1,0.00666666666667,0.00666666666667,1.0,3
2031,3-4,0.00666666666667,0.00666666666667,1.0,3
2031,3-5,0.00666666666667,0.00666666666667,1.0,3
2031,3-6,0.04,0.04,1.0,3
2031,4-0,0.005,0.005,1.0,4
2031,4-2,0.0,0.005,0.0,4
2031,4-4,0.0,0.005,0.0,4
2031,4-5,0.005,0.005,1.0,4
2031,5-0,0.00666666666667,0.00666666666667,1.0,5
2031,5-1,0.00333333333333,0.00666666666667,0.5,5
2031,5-2,0.00666666666667,0.00666666666667,1.0,5
2031,5-4,0.04,0.04,1.0,5
2031,6-0,0.00666666666667,0.00666666666667,1.0,6
2031,6-1,0.00666666666667,0.00666666666667,1.0,6
2031,6-2,0.00666666666667,0.00666666666667,1.0,6
2264,1-2,0.0,0.0,,1
2264,2-0,0.005,0.005,1.0,2
2264,2-1,0.005,0.005,1.0,2
2264,2-3,0.0,0.005,0.0,2
2264,2-4,0.005,0.005,1.0,2
2264,3-1,0.00666666666667,0.00666666666667,1.0,3
2264,3-4,0.00666666666667,0.00666666666667,1.0,3
2335,1-5,0.04,0.04,1.0,1
2335,2-0,0.005,0.005,1.0,2
2335,2-1,0.0,0.005,0.0,2
2335,2-3,0.005,0.005,1.0,2
2335,2-4,0.0,0.005,0.0,2
2999,1-0,0.0,0.0,,1
2999,1-2,0.0,0.0,,1
2999,1-3,0.02,0.02,1.0,1
2999,1-5,0.04,0.04,1.0,1
2999,10-0,0.01,0.01,1.0,10
2999,10-1,0.01,0.01,1.0,10
2999,11-1,0.14,0.14,1.0,11
2999,11-2,0.06,0.06,1.0,11
2999,12-1,0.306,0.4,0.765,12
2999,2-0,0.005,0.005,1.0,2
2999,2-1,0.005,0.005,1.0,2
2999,2-3,0.005,0.005,1.0,2
2999,2-4,0.005,0.005,1.0,2
2999,2-6,0.04,0.04,1.0,2
2999,3-1,0.00666666666667,0.00666666666667,1.0,3
2999,3-4,0.00666666666667,0.00666666666667,1.0,3
2999,3-5,0.00666666666667,0.00666666666667,1.0,3
2999,3-6,0.04,0.04,1.0,3
2999,4-0,0.005,0.005,1.0,4
2999,4-2,0.005,0.005,1.0,4
2999,4-4,0.005,0.005,1.0,4
2999,4-5,0.005,0.005,1.0,4
2999,5-0,0.00666666666667,0.00666666666667,1.0,5
2999,5-1,0.00666666666667,0.00666666666667,1.0,5
2999,5-2,0.00666666666667,0.00666666666667,1.0,5
2999,5-4,0.04,0.04,1.0,5
2999,6-0,0.00666666666667,0.00666666666667,1.0,6
2999,6-1,0.00666666666667,0.00666666666667,1.0,6
2999,6-2,0.00666666666667,0.00666666666667,1.0,6
2999,7-1,0.01,0.01,1.0,7
2999,7-2,0.01,0.01,1.0,7
2999,7-4,0.04,0.04,1.0,7
2999,8-0,0.01,0.01,1.0,8
2999,8-1,0.01,0.01,1.0,8
2999,8-2,0.04,0.04,1.0,8
2999,9-0,0.01,0.01,1.0,9
2999,9-1,0.01,0.01,1.0,9
3590,1-0,0.0,0.0,,1
3590,1-2,0.0,0.0,,1
3590,1-3,0.01,0.02,0.5,1
3590,1-5,0.04,0.04,1.0,1
3590,10-0,0.01,0.01,1.0,10
3590,10-1,0.01,0.01,1.0,10
3590,11-1,0.14,0.14,1.0,11
3590,11-2,0.06,0.06,1.0,11
3590,12-1,0.368,0.4,0.92,12
3590,2-0,0.005,0.005,1.0,2
3590,2-1,0.0,0.005,0.0,2
3590,2-3,0.005,0.005,1.0,2
3590,2-4,0.005,0.005,1.0,2
3590,2-6,0.0266666666667,0.04,0.666666666667,2
3590,3-1,0.00666666666667,0.00666666666667,1.0,3
3590,3-4,0.00666666666667,0.00666666666667,1.0,3
3590,3-5,0.00666666666667,0.00666666666667,1.0,3
3590,3-6,0.04,0.04,1.0,3
3590,4-0,0.005,0.005,1.0,4
3590,4-2,0.005,0.005,1.0,4
3590,4-4,0.005,0.005,1.0,4
3590,4-5,0.005,0.005,1.0,4
3590,5-0,0.00666666666667,0.00666666666667,1.0,5
3590,5-1,0.00666666666667,0.00666666666667,1.0,5
3590,5-2,0.00666666666667,0.00666666666667,1.0,5
3590,5-4,0.04,0.04,1.0,5
3590,6-0,0.00666666666667,0.00666666666667,1.0,6
3590,6-1,0.00333333333333,0.00666666666667,0.5,6
3590,6-2,0.00666666666667,0.00666666666667,1.0,6
3590,7-1,0.01,0.01,1.0,7
3590,7-2,0.01,0.01,1.0,7
3590,7-4,0.04,0.04,1.0,7
3590,8-0,0.01,0.01,1.0,8
3590,8-1,0.01,0.01,1.0,8
3590,8-2,0.04,0.04,1.0,8
3590,9-0,0.01,0.01,1.0,9
3590,9-1,0.01,0.01,1.0,9
3646,1-0,0.0,0.0,,1
3646,1-2,0.0,0.0,,1
3646,1-3,0.02,0.02,1.0,1
3646,1-5,0.04,0.04,1.0,1
3646,10-0,0.01,0.01,1.0,10
3646,10-1,0.01,0.01,1.0,10
3646,11-1,0.14,0.14,1.0,11
3646,11-2,0.06,0.06,1.0,11
3646,12-1,0.392,0.4,0.98,12
3646,2-0,0.005,0.005,1.0,2
3646,2-1,0.005,0.005,1.0,2
3646,2-3,0.005,0.005,1.0,2
3646,2-4,0.005,0.005,1.0,2
3646,2-6,0.04,0.04,1.0,2
3646,3-1,0.00666666666667,0.00666666666667,1.0,3
3646,3-4,0.00666666666667,0.00666666666667,1.0,3
3646,3-5,0.00666666666667,0.00666666666667,1.0,3
3646,3-6,0.04,0.04,1.0,3
3646,4-0,0.005,0.005,1.0,4
3646,4-2,0.005,0.005,1.0,4
3646,4-4,0.005,0.005,1.0,4
3646,4-5,0.005,0.005,1.0,4
3646,5-0,0.00666666666667,0.00666666666667,1.0,5
3646,5-1,0.00666666666667,0.00666666666667,1.0,5
3646,5-2,0.00666666666667,0.00666666666667,1.0,5
3646,5-4,0.04,0.04,1.0,5
3646,6-0,0.00666666666667,0.00666666666667,1.0,6
3646,6-1,0.00666666666667,0.00666666666667,1.0,6
3646,6-2,0.00666666666667,0.00666666666667,1.0,6
3646,7-1,0.01,0.01,1.0,7
3646,7-2,0.01,0.01,1.0,7
3646,7-4,0.04,0.04,1.0,7
3646,8-0,0.01,0.01,1.0,8
3646,8-1,0.01,0.01,1.0,8
3646,8-2,0.04,0.04,1.0,8
3646,9-0,0.01,0.01,1.0,9
3646,9-1,0.01,0.01,1.0,9
3840,1-0,0.0,0.0,,1
3840,1-2,0.0,0.0,,1
3840,1-3,0.01,0.02,0.5,1
3840,1-5,0.04,0.04,1.0,1
3840,2-0,0.005,0.005,1.0,2
3840,2-1,0.005,0.005,1.0,2
3840,2-3,0.005,0.005,1.0,2
3840,2-4,0.005,0.005,1.0,2
3840,2-6,0.04,0.04,1.0,2
3840,3-1,0.00666666666667,0.00666666666667,1.0,3
5051,1-0,0.0,0.0,,1
5051,1-2,0.0,0.0,,1
5051,1-3,0.01,0.02,0.5,1
5051,1-5,0.04,0.04,1.0,1
5051,2-1,0.005,0.005,1.0,2
5051,2-3,0.005,0.005,1.0,2
5051,2-4,0.005,0.005,1.0,2
5436,1-2,0.0,0.0,,1
5436,1-3,0.02,0.02,1.0,1
5436,1-5,0.04,0.04,1.0,1
5436,2-0,0.005,0.005,1.0,2
5436,2-1,0.005,0.005,1.0,2
5436,2-3,0.0,0.005,0.0,2
5436,2-4,0.0,0.005,0.0,2
6690,1-2,0.0,0.0,,1
6690,2-0,0.005,0.005,1.0,2
6690,2-1,0.005,0.005,1.0,2
6690,2-3,0.005,0.005,1.0,2
6690,2-4,0.005,0.005,1.0,2
6690,2-6,0.0266666666667,0.04,0.666666666667,2
6690,3-1,0.00666666666667,0.00666666666667,1.0,3
6690,3-4,0.00666666666667,0.00666666666667,1.0,3
6690,3-5,0.00666666666667,0.00666666666667,1.0,3
6690,3-6,0.0262857142857,0.04,0.657142857143,3
7223,1-2,0.0,0.0,,1
7223,2-0,0.005,0.005,1.0,2
7223,2-1,0.005,0.005,1.0,2
7223,2-3,0.005,0.005,1.0,2
7223,2-4,0.0,0.005,0.0,2
7223,3-1,0.00666666666667,0.00666666666667,1.0,3
7223,3-4,0.00666666666667,0.00666666666667,1.0,3
7394,1-3,0.02,0.02,1.0,1
7394,1-5,0.04,0.04,1.0,1
7394,2-0,0.005,0.005,1.0,2
7394,2-1,0.005,0.005,1.0,2
7394,2-3,0.005,0.005,1.0,2
7394,2-4,0.0,0.005,0.0,2
7394,2-6,0.04,0.04,1.0,2
7394,3-1,0.00666666666667,0.00666666666667,1.0,3
7394,3-4,0.0,0.00666666666667,0.0,3
7394,3-5,0.00333333333333,0.00666666666667,0.5,3
7394,3-6,0.04,0.04,1.0,3
7394,4-0,0.005,0.005,1.0,4
7394,4-2,0.0,0.005,0.0,4
7394,4-4,0.005,0.005,1.0,4
7394,4-5,0.0,0.005,0.0,4
7394,5-0,0.00666666666667,0.00666666666667,1.0,5
7548,1-0,0.0,0.0,,1
7548,1-2,0.0,0.0,,1
7548,1-3,0.01,0.02,0.5,1
7548,1-5,0.04,0.04,1.0,1
7548,2-0,0.005,0.005,1.0,2
7548,2-1,0.005,0.005,1.0,2
7548,2-3,0.005,0.005,1.0,2
7548,2-4,0.005,0.005,1.0,2
7548,2-6,0.04,0.04,1.0,2
7548,3-1,0.00666666666667,0.00666666666667,1.0,3
7548,3-4,0.00666666666667,0.00666666666667,1.0,3
7548,3-5,0.00666666666667,0.00666666666667,1.0,3
7548,3-6,0.0,0.04,0.0,3
7548,4-0,0.005,0.005,1.0,4
7548,4-2,0.0,0.005,0.0,4
7548,4-4,0.0,0.005,0.0,4
7548,4-5,0.005,0.005,1.0,4
7548,5-0,0.00666666666667,0.00666666666667,1.0,5
7548,5-1,0.00333333333333,0.00666666666667,0.5,5
7548,5-2,0.00666666666667,0.00666666666667,1.0,5
7548,5-4,0.0,0.04,0.0,5
7602,1-2,0.0,0.0,,1
7602,1-5,0.04,0.04,1.0,1
7602,4-5,0.0,0.005,0.0,4
7980,1-0,0.0,0.0,,1
7980,1-2,0.0,0.0,,1
7980,1-3,0.02,0.02,1.0,1
7980,1-5,0.04,0.04,1.0,1
7980,10-0,0.01,0.01,1.0,10
7980,10-1,0.01,0.01,1.0,10
7980,11-1,0.14,0.14,1.0,11
7980,11-2,0.06,0.06,1.0,11
7980,12-1,0.352,0.4,0.88,12
7980,2-0,0.005,0.005,1.0,2
7980,2-1,0.005,0.005,1.0,2
7980,2-3,0.005,0.005,1.0,2
7980,2-4,0.005,0.005,1.0,2
7980,2-6,0.04,0.04,1.0,2
7980,3-1,0.00666666666667,0.00666666666667,1.0,3
7980,3-4,0.00666666666667,0.00666666666667,1.0,3
7980,3-5,0.00666666666667,0.00666666666667,1.0,3
7980,3-6,0.04,0.04,1.0,3
7980,4-0,0.005,0.005,1.0,4
7980,4-2,0.005,0.005,1.0,4
7980,4-4,0.005,0.005,1.0,4
7980,4-5,0.005,0.005,1.0,4
7980,5-0,0.00666666666667,0.00666666666667,1.0,5
7980,5-1,0.00666666666667,0.00666666666667,1.0,5
