user_id,chapter_mid,chgrade
4378,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
4378,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
4378,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,18
93601,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,0
122602,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,20
122602,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,5
122602,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
145689,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
147887,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,7
147887,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
163135,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
164760,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,2
164760,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,3.25
253995,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,17
253995,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
253995,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,21
271524,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,2
271524,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,2
277331,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,47
277331,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,19
277331,VJx/VJx_2/chapter/112195c11137448797b598c81511e347,23
277331,VJx/VJx_2/chapter/d5c187202382439b9a6ac24e8aea59fa,17
277331,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,16
277331,VJx/VJx_2/chapter/2fcada225e474efa993e244e5383848d,63
277331,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
277331,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,55
280245,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,6
281083,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,1
287402,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,15.375
287402,VJx/VJx_2/chapter/6467e15783a04a0888b68ce1dd4d45bf,6
287402,VJx/VJx_2/chapter/5f575fa2743a484ca329c0f08dee219c,13
287402,VJx/VJx_2/chapter/4889770a84854d7cacd2f6d12a5b9dc2,26
287402,VJx/VJx_2/chapter/8127b369f5fc492c816df7b6820c09b0,15
327918,VJx/VJx_2/chapter/a3b18702fd42405683755a8acf297f68,15
