user_id,username,chapter_name,video_count
4378,eduardogfma,Black Ships & Samurai 1: Historical Background,14
4378,eduardogfma,Black Ships & Samurai 2: The Perry Encounter,10
4378,eduardogfma,Introduction: New Historical Sources for a Digital Age,11
9157,RLaBarge,Black Ships & Samurai 1: Historical Background,16
9157,RLaBarge,Black Ships & Samurai 2: The Perry Encounter,10
9157,RLaBarge,Introduction: New Historical Sources for a Digital Age,13
15802,rollyagsalog,Introduction: New Historical Sources for a Digital Age,3
15802,rollyagsalog,Transition: From Hibiya to Shiseido,1
15802,rollyagsalog,Modernity in Interwar Japan: Shiseido & Consumer Culture,1
15802,rollyagsalog,Black Ships & Samurai 1: Historical Background,4
28505,CLG,Black Ships & Samurai 1: Historical Background,6
28505,CLG,Introduction: New Historical Sources for a Digital Age,16
42624,AndersonCaires,Introduction: New Historical Sources for a Digital Age,1
79373,Thayumanavar,Introduction: New Historical Sources for a Digital Age,1
122602,mihaim,Introduction: New Historical Sources for a Digital Age,12
122602,mihaim,Black Ships & Samurai 2: The Perry Encounter,3
122602,mihaim,Black Ships & Samurai 1: Historical Background,15
145110,Jairo9512,Introduction: New Historical Sources for a Digital Age,4
145689,0xe2-0x9a-0x9b,Introduction: New Historical Sources for a Digital Age,2
147887,alantel,Introduction: New Historical Sources for a Digital Age,14
147887,alantel,Black Ships & Samurai 2: The Perry Encounter,14
147887,alantel,Black Ships & Samurai 1: Historical Background,15
150677,giorgos7349,Introduction: New Historical Sources for a Digital Age,1
159343,iamcem,Introduction: New Historical Sources for a Digital Age,2
162437,porsha,Black Ships & Samurai 2: The Perry Encounter,4
162437,porsha,Black Ships & Samurai 1: Historical Background,9
162437,porsha,Introduction: New Historical Sources for a Digital Age,10
163135,RubenGP,Introduction: New Historical Sources for a Digital Age,2
164760,JesseC,Introduction: New Historical Sources for a Digital Age,21
164760,JesseC,Black Ships & Samurai 1: Historical Background,3
181355,sanjaylulu007,Black Ships & Samurai 1: Historical Background,3
181355,sanjaylulu007,Introduction: New Historical Sources for a Digital Age,3
194554,xiaoming,Introduction: New Historical Sources for a Digital Age,1
211910,ufuker,Black Ships & Samurai 1: Historical Background,1
214635,DavDelVecchio,Introduction: New Historical Sources for a Digital Age,2
238759,chatte,Introduction: New Historical Sources for a Digital Age,7
238759,chatte,Black Ships & Samurai 1: Historical Background,1
253995,JenARich,Black Ships & Samurai 2: The Perry Encounter,2
260965,mdehghani,Black Ships & Samurai 1: Historical Background,1
260965,mdehghani,Introduction: New Historical Sources for a Digital Age,1
271524,cridgey,Black Ships & Samurai 1: Historical Background,10
271524,cridgey,Black Ships & Samurai 2: The Perry Encounter,4
271524,cridgey,Introduction: New Historical Sources for a Digital Age,4
277331,FrankHamre,Transition: From Hibiya to Shiseido,14
277331,FrankHamre,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
277331,FrankHamre,Introduction: New Historical Sources for a Digital Age,11
277331,FrankHamre,Black Ships & Samurai 2: The Perry Encounter,24
277331,FrankHamre,Black Ships & Samurai 1: Historical Background,14
277331,FrankHamre,Transition: After Perry,13
277331,FrankHamre,Modernity in Interwar Japan: Shiseido & Consumer Culture,25
277331,FrankHamre,Conclusion,6
280233,Heljo,Black Ships & Samurai 1: Historical Background,1
280233,Heljo,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",2
281083,Oscarcom,Introduction: New Historical Sources for a Digital Age,2
287402,Greutter,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",10
287402,Greutter,Black Ships & Samurai 2: The Perry Encounter,22
287402,Greutter,Transition: From Hibiya to Shiseido,11
287402,Greutter,Introduction: New Historical Sources for a Digital Age,12
287402,Greutter,Black Ships & Samurai 1: Historical Background,10
287402,Greutter,Transition: After Perry,12
327918,Satorimori,Black Ships & Samurai 2: The Perry Encounter,25
327918,Satorimori,Introduction: New Historical Sources for a Digital Age,14
327918,Satorimori,Conclusion,6
327918,Satorimori,Transition: After Perry,13
327918,Satorimori,Modernity in Interwar Japan: Shiseido & Consumer Culture,24
327918,Satorimori,Black Ships & Samurai 1: Historical Background,14
327918,Satorimori,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
327918,Satorimori,Transition: From Hibiya to Shiseido,14
334016,Superdude3000,Introduction: New Historical Sources for a Digital Age,2
334016,Superdude3000,Black Ships & Samurai 1: Historical Background,9
377856,samwoz,Introduction: New Historical Sources for a Digital Age,10
377856,samwoz,Black Ships & Samurai 1: Historical Background,8
385060,DRuNKnM0NK3Y,Modernity in Interwar Japan: Shiseido & Consumer Culture,22
385060,DRuNKnM0NK3Y,Introduction: New Historical Sources for a Digital Age,10
385060,DRuNKnM0NK3Y,Transition: From Hibiya to Shiseido,14
385060,DRuNKnM0NK3Y,Transition: After Perry,13
385060,DRuNKnM0NK3Y,Conclusion,6
385060,DRuNKnM0NK3Y,Black Ships & Samurai 1: Historical Background,14
385060,DRuNKnM0NK3Y,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
385060,DRuNKnM0NK3Y,Black Ships & Samurai 2: The Perry Encounter,24
388833,bluefrance,Introduction: New Historical Sources for a Digital Age,1
390054,mcwaller910,Introduction: New Historical Sources for a Digital Age,1
447376,moselle,Introduction: New Historical Sources for a Digital Age,12
447376,moselle,Black Ships & Samurai 1: Historical Background,8
466123,MEP,Black Ships & Samurai 1: Historical Background,7
466123,MEP,Introduction: New Historical Sources for a Digital Age,11
485285,osakajoe,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
485285,osakajoe,Introduction: New Historical Sources for a Digital Age,11
485285,osakajoe,Conclusion,6
485285,osakajoe,Black Ships & Samurai 2: The Perry Encounter,24
485285,osakajoe,Modernity in Interwar Japan: Shiseido & Consumer Culture,23
485285,osakajoe,Transition: From Hibiya to Shiseido,14
485285,osakajoe,Black Ships & Samurai 1: Historical Background,14
485285,osakajoe,Transition: After Perry,13
500463,fferraro,Modernity in Interwar Japan: Shiseido & Consumer Culture,1
500463,fferraro,Black Ships & Samurai 2: The Perry Encounter,1
502540,justaman,Introduction: New Historical Sources for a Digital Age,2
502540,justaman,Black Ships & Samurai 1: Historical Background,1
518042,sdactyl,Introduction: New Historical Sources for a Digital Age,1
539300,juodakuosa,Introduction: New Historical Sources for a Digital Age,11
586249,Donna92,Introduction: New Historical Sources for a Digital Age,4
638191,alanav,Introduction: New Historical Sources for a Digital Age,12
638191,alanav,Black Ships & Samurai 2: The Perry Encounter,20
638191,alanav,Black Ships & Samurai 1: Historical Background,14
643937,Chrismb89,Introduction: New Historical Sources for a Digital Age,8
653272,VitorStarobole,Introduction: New Historical Sources for a Digital Age,2
691379,soihoang,Introduction: New Historical Sources for a Digital Age,2
724545,alphacrash,Introduction: New Historical Sources for a Digital Age,1
724545,alphacrash,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",1
724545,alphacrash,Black Ships & Samurai 1: Historical Background,1
763849,alexnollet,Introduction: New Historical Sources for a Digital Age,11
767913,ldb1100,Introduction: New Historical Sources for a Digital Age,12
767913,ldb1100,Black Ships & Samurai 1: Historical Background,14
767913,ldb1100,Black Ships & Samurai 2: The Perry Encounter,5
795776,MikeLB,Black Ships & Samurai 2: The Perry Encounter,24
795776,MikeLB,Conclusion,6
795776,MikeLB,Transition: From Hibiya to Shiseido,14
795776,MikeLB,Introduction: New Historical Sources for a Digital Age,12
795776,MikeLB,Transition: After Perry,14
795776,MikeLB,Modernity in Interwar Japan: Shiseido & Consumer Culture,24
795776,MikeLB,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
795776,MikeLB,Black Ships & Samurai 1: Historical Background,14
819573,kaj37,Introduction: New Historical Sources for a Digital Age,1
823920,veasnakru,Introduction: New Historical Sources for a Digital Age,2
829396,JaimeSodre,Modernity in Interwar Japan: Shiseido & Consumer Culture,24
829396,JaimeSodre,Black Ships & Samurai 1: Historical Background,13
829396,JaimeSodre,Conclusion,6
829396,JaimeSodre,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
829396,JaimeSodre,Transition: From Hibiya to Shiseido,14
829396,JaimeSodre,Black Ships & Samurai 2: The Perry Encounter,23
829396,JaimeSodre,Transition: After Perry,13
829396,JaimeSodre,Introduction: New Historical Sources for a Digital Age,12
829651,Cirkapris,Introduction: New Historical Sources for a Digital Age,2
865502,jeunebl,Introduction: New Historical Sources for a Digital Age,10
878098,vlnt,Introduction: New Historical Sources for a Digital Age,5
880304,akogan54,Conclusion,6
880304,akogan54,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
880304,akogan54,Black Ships & Samurai 2: The Perry Encounter,25
880304,akogan54,Modernity in Interwar Japan: Shiseido & Consumer Culture,24
880304,akogan54,Transition: After Perry,13
880304,akogan54,Transition: From Hibiya to Shiseido,14
880304,akogan54,Introduction: New Historical Sources for a Digital Age,12
880304,akogan54,Black Ships & Samurai 1: Historical Background,14
890664,walterabrams1,Black Ships & Samurai 1: Historical Background,5
890664,walterabrams1,Introduction: New Historical Sources for a Digital Age,5
903726,EmiKondo,Black Ships & Samurai 1: Historical Background,5
903726,EmiKondo,Introduction: New Historical Sources for a Digital Age,4
921018,housojamphu,Introduction: New Historical Sources for a Digital Age,2
932477,korkinsson,Introduction: New Historical Sources for a Digital Age,1
945700,Zeynepyilmaz,Introduction: New Historical Sources for a Digital Age,2
956653,Scientia7,Introduction: New Historical Sources for a Digital Age,2
959746,pakenhaj,Introduction: New Historical Sources for a Digital Age,9
996140,rowanwagner,Introduction: New Historical Sources for a Digital Age,12
996140,rowanwagner,Black Ships & Samurai 1: Historical Background,11
1000632,cradlenet,Black Ships & Samurai 1: Historical Background,10
1000632,cradlenet,Introduction: New Historical Sources for a Digital Age,2
1000632,cradlenet,Black Ships & Samurai 2: The Perry Encounter,20
1001912,keith4172,Introduction: New Historical Sources for a Digital Age,12
1001912,keith4172,Transition: After Perry,13
1001912,keith4172,Transition: From Hibiya to Shiseido,14
1001912,keith4172,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
1001912,keith4172,Modernity in Interwar Japan: Shiseido & Consumer Culture,20
1001912,keith4172,Black Ships & Samurai 2: The Perry Encounter,24
1001912,keith4172,Black Ships & Samurai 1: Historical Background,14
1015823,whitenessfilms,Black Ships & Samurai 2: The Perry Encounter,5
1015823,whitenessfilms,Black Ships & Samurai 1: Historical Background,8
1015823,whitenessfilms,Introduction: New Historical Sources for a Digital Age,8
1019625,jensheng,Introduction: New Historical Sources for a Digital Age,9
1021689,marge13,Black Ships & Samurai 1: Historical Background,1
1032001,francischan,Black Ships & Samurai 1: Historical Background,14
1032001,francischan,Introduction: New Historical Sources for a Digital Age,1
1032001,francischan,Black Ships & Samurai 2: The Perry Encounter,10
1041552,Xuemike,Introduction: New Historical Sources for a Digital Age,7
1045677,jamesstickler,Black Ships & Samurai 1: Historical Background,1
1055873,kwksnghyk,Introduction: New Historical Sources for a Digital Age,1
1056797,AgataMay,Introduction: New Historical Sources for a Digital Age,11
1056797,AgataMay,Black Ships & Samurai 1: Historical Background,4
1064078,enjavadi,Introduction: New Historical Sources for a Digital Age,3
1076860,PHP281163,Introduction: New Historical Sources for a Digital Age,2
1078384,Dana123,Black Ships & Samurai 1: Historical Background,13
1078384,Dana123,Introduction: New Historical Sources for a Digital Age,8
1078384,Dana123,Black Ships & Samurai 2: The Perry Encounter,6
1087531,mikiot,Black Ships & Samurai 2: The Perry Encounter,10
1087531,mikiot,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",6
1087531,mikiot,Introduction: New Historical Sources for a Digital Age,14
1087531,mikiot,Modernity in Interwar Japan: Shiseido & Consumer Culture,17
1087531,mikiot,Black Ships & Samurai 1: Historical Background,18
1101334,river215,Introduction: New Historical Sources for a Digital Age,12
1113082,Kurczaczek,Introduction: New Historical Sources for a Digital Age,1
1130511,HeavyMetal,Introduction: New Historical Sources for a Digital Age,2
1133016,saywhathuh,Introduction: New Historical Sources for a Digital Age,2
1137122,Ritamsd,Transition: From Hibiya to Shiseido,9
1137122,Ritamsd,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",1
1156112,bscott,Transition: From Hibiya to Shiseido,15
1156112,bscott,Transition: After Perry,13
1156112,bscott,Conclusion,6
1156112,bscott,Modernity in Interwar Japan: Shiseido & Consumer Culture,24
1156112,bscott,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
1156112,bscott,Black Ships & Samurai 1: Historical Background,14
1156112,bscott,Introduction: New Historical Sources for a Digital Age,11
1156112,bscott,Black Ships & Samurai 2: The Perry Encounter,24
1160564,crgray,Black Ships & Samurai 1: Historical Background,2
1160564,crgray,Introduction: New Historical Sources for a Digital Age,4
1160564,crgray,Black Ships & Samurai 2: The Perry Encounter,4
1164318,sandybeauty,Introduction: New Historical Sources for a Digital Age,4
1165124,holfyuen,Modernity in Interwar Japan: Shiseido & Consumer Culture,25
1165124,holfyuen,Black Ships & Samurai 2: The Perry Encounter,24
1165124,holfyuen,Transition: From Hibiya to Shiseido,14
1165124,holfyuen,Conclusion,6
1165124,holfyuen,Black Ships & Samurai 1: Historical Background,14
1165124,holfyuen,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",17
1165124,holfyuen,Transition: After Perry,14
1165124,holfyuen,Introduction: New Historical Sources for a Digital Age,14
1194787,Sagar1785,Introduction: New Historical Sources for a Digital Age,1
1197534,piotrjanik,Introduction: New Historical Sources for a Digital Age,4
1215107,leroystrom,"Social Protest in Imperial Japan: The Hibiya Riot of 1905 ",11
1215107,leroystrom,Transition: After Perry,12
1215107,leroystrom,Modernity in Interwar Japan: Shiseido & Consumer Culture,24
1215107,leroystrom,Introduction: New Historical Sources for a Digital Age,4
1215107,leroystrom,Black Ships & Samurai 1: Historical Background,17
1215107,leroystrom,Conclusion,6
1215107,leroystrom,Black Ships & Samurai 2: The Perry Encounter,24
1215107,leroystrom,Transition: From Hibiya to Shiseido,17
